INT	INT	INT	STRING	STRING
113	1	0	Lînh Bát Trùng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G2000000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#GBát Trùng hào hùng L­#W. Lînh H§u, Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ m· ra#GKi«n Ğïnh thß½ng hµi#W, trñc tiªp tiªn vào cØa hàng Tính · trong ğó Tuy¬n C¤u hi hæu thß½ng ph¦m. #r Bát Trùng hào hùng L­ thß·ng cho nµi dung nhß sau: #Ycao c¤p Tôi H°n Tuı#G*50#W, #Y4C¤p Bí Ngân#G*3#W, #Y4C¤p Miên B¯#G*3#Wcùng v¾i m· ra#GKi«n Ğïnh thß½ng hµi#W
114	1	3	Hoài bích có tµi	Chính cái g÷i là'th¤t phu vô tµi, hoài bích có tµi', thiªu hi®p l¥n này Tao kë x¤u hành hung, ti«n v¯n Hoà hàng hóa Quân Dî ğánh r½i, cho nên trä thù lao cûng vô pháp thñc hi®n. #r Nhçm Khä vÑt bö nhi®m vø Ho£c phän h°i#GĞ?i Lı#W, #GTô Châu#WHo£c#GLÕc Dß½ng#Rğ£c sän thß½ng nhân#WXØ trä lÕi nhi®m vø H§u, nh§n lÕi mµt l¥n næa#YPhú Giáp thiên hÕ nhi®m vø#W.
115	1	3	Kinh thß½ng cho phép m¤t ği hi®u lñc	Nhçm Ğích kinh thß½ng cho phép ğã m¤t Hi®u, lúc này không th¬ tiªp tøc Mãi Nh§p ğ£c sän. Nhßşc Nhçm Thßşng Hæu ğ£c sän V¸ bán ra, Khä tiªp tøc v§n chuy¬n Tính TÕi bán ra toàn bµ ğ£c sän H§u, phän h°i#GĞ?i Lı#{_INFOAIM189, 135, 2, Dß½ng Th¥n Dß}#RDß½ng Th¥n Dß#W, #GLÕc Dß½ng#{_INFOAIM149, 145, 0, Trình Thß½ng Bách}#RTrình Thß½ng Bách#WHoà#GTô Châu#{_INFOAIM177, 150, 1, TÕ Vân Ğình}#RTÕ Vân Ğình#WXØ kªt toán trä thù lao.
116	1	0	Song Nhân ğµng tác	#YtHân ái Ğích ngß¶i ch½i: #W#r#r «Tân Thiên Long Bát Bµ»Tân Tång#GSong Nhân ğµng tác#Wcông nång, Nhî chï c¥n Tá Khai'#Gğµng tác#W'cái nút, thông qua c¡t nhãn là có th¬ nhìn ğªn Tân Tång Ğích ğµng tác LÕp. Lña ch÷n Nhî mu¯n H² Ğµng Ğích ngß¶i ch½i, sau ğó Tái lña ch÷n mu¯n vào Hành Ğích ğµng tác, các ngß½i là có th¬ cùng nhau bày ra các loÕi Hæu Thú Ğích tÕo hình Nga. Ğ×ng næa th©n thùng LÕp, Khoái Hoà b¢ng hæu cüa ngß½i ho£c là vş cùng nhau T¯ mµt cái hành ğµng Phái Ba! #r nªu không nghî nh§n ngß¶i khác Ğích ğµng tác, Nhî có th¬ thông qua#Gtrò ch½i Tính thiªt trí#WTrung Ğích#Gcñ tuy®t ğàm ğÕo ğµng tác#Wcái nút Lai ğóng cØa công nång.
117	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû thành viên#GB¤t thuµc loÕi cùng mµt tr§n chiªn Ğµi#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r Thïnh dña theo tr§n ğ¤u yêu c¥u mµt l¥n næa sØa sang lÕi ğµi ngû, Dî bäo ğäm tÕi hÕ mµt vòng xÑng ğôi b¡t ğ¥u Th¶i, có th¬ thu§n lşi tham dñ xÑng ğôi.
118	1	0	Tr§n ğ¤u xÑng ğôi th¤t bÕi	#YKIªm Hµi qu¥n hùng tr§n ğ¤u xÑng ğôi th¤t bÕi#W#r#r TÕi hôm nay Ğ®#G%s#WTrß¶ng tr§n ğ¤u Ğích xÑng ğôi Trung, b·i vì Nhçm ch², n½i Ğích ğµi ngû thành viên#GB¤t thuµc loÕi cùng mµt tr§n chiªn Ğµi#W, kHông phù hşp tr§n ğ¤u Ğích tham dñ ği«u ki®n. B·i v§y, Nhçm ch², n½i Ğích ğµi ngû Dî xÑng ğôi th¤t bÕi, Tß¾ng không th¬ tham dñ Cai Trß¶ng tÖ thí Ğích quyªt ğ¤u. #r hôm nay Ğích tr§n ğ¤u Dî toàn bµ kªt thúc, Nhçm Khä Tñ chï dçn Nhân XØ r¶i ği phòng nghï.
119	1	3	Chí tôn Bäo tranh ğoÕt chu¦n b¸ chiªn ğ¤u Chiªn thß·ng cho	B·i vì B±n ThÑ#GcHí tôn Bäo tranh ğoÕt Chiªn#WxÑng ğôi nhân s¯ Dî Mãn, Nhçm không th¬ tiªn vào ğ¯i chiªn, chï có th¬ nh§n ğßşc chu¦n b¸ chiªn tranh thß·ng cho.
120	1	3	Trân Thú du l¸ch tr· v«	Thiªu hi®p Ğích Trân Thú Dî du l¸ch tr· v«, Thïnh ği trß¾c#GCÔn Ngô#{_INFOAIM85, 222, 734, Xuân tiên sinh}#RXuân tiên sinh#WHo£c#GCôn Ngô#{_INFOAIM76, 216, 734, Tang tiên sinh}#RTang tiên sinh#WXØ xem xét Tính lînh du l¸ch thß·ng cho.
121	1	0	Lînh Bát Trùng hào hùng L­	#YaNh hùng vung ti«n nhß rác KhÑ, hào hùng vÕn trßşng trân bäo Lai. #r #WNhçm luy kª ğ±i Thß luy kª tiêu phí Dî ğÕt t¾i#G2000000nguyên bäo#W, HI®n Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ lînh#GBát Trùng hào hùng L­#W. Lînh H§u, Khä ği trß¾c#GLÕc Dß½ng Ti«n Trang#{_INFOAIM65, 40, 224, Tôn Tiªn Bäo}#RTôn Tiªn Bäo#WXØ m· ra#GKi«n Ğïnh thß½ng hµi#W, trñc tiªp tiªn vào cØa hàng Tính · trong ğó Tuy¬n C¤u hi hæu thß½ng ph¦m. #r Bát Trùng hào hùng L­ thß·ng cho nµi dung nhß sau: #Yxoay chuy¬n tr¶i ğ¤t Th¥n ThÕch#G*40#W, #Y4C¤p Bí Ngân#G*3#W, #Y4C¤p Miên B¯#G*3#Wcùng v¾i m· ra#GKi«n Ğïnh thß½ng hµi#W
122	1	3	Tân Ğích phía bên phäi mau l© Lan	TÕi trò ch½i Tính thiªt trí Lı Tân Tång Li­u#Ym— ra phía bên phäi Tân mau l© Lan#WTuy¬n HÕng, thiªt trí H§u Tß¾ng kích hoÕt Chü m£t biên phía bên phäi Ğích#YTân mau l© Lan#W, cÓ th¬ ğ¬ ğ£t nhi«u h½n Ğích v§t ph¦m Hoà kÛ nång Chí Chü m£t biên.
