INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
1116	166	18	16	Trß¶ng cänh: Bäo Tàng Nh¸		V§n chuy¬n	99	2
1117	166	234	238	Trß¶ng cänh: Ðµi Hoàng		V§n chuy¬n	99	2
1118	166	157	91	ÐÕo MÕc Ti¬u T£c			1	5
1119	166	236	230	H° ÐÑc Häi			2	5
1120	166	34	230	Hµ Bäo Th¥n Thú			1	5
1121	166	175	100	Tôn ÐÑc Long			2	5
1122	166	241	236	Diêu Phu			2	5
1123	169	20	10	Trß¶ng cänh: Bäo Tàng Tam		V§n chuy¬n	99	2
1124	169	233	236	Trß¶ng cänh: Bäo Tàng Nh¤t		V§n chuy¬n	99	2
1125	169	42	198	Hµ Bäo Th¥n Thú			1	5
1126	169	215	206	Sa MÕc Mã Phï			1	5
1127	169	236	226	Diêu Công			2	5
1128	196	39	24	Nghi thÑc		Chü trì	2	5
1129	196	40	71	HÖ Lai LÕc		V§n chuy¬n	99	2
1130	196	45	65	Lí Hoa		L­ Hoa	6	3
1131	197	39	24	Nghi thÑc		Chü trì	2	5
1132	197	45	73	HÖ Lai LÕc		V§n chuy¬n	99	2
1133	197	48	67	Lí Hoa		L­ Hoa	6	3
1134	198	60	27	Nghi thÑc		Chü trì	2	5
1135	198	62	72	HÖ Lai LÕc		V§n chuy¬n	99	2
1136	198	65	68	Lí Hoa		L­ Hoa	6	3
1137	229	58	226	Trß¶ng cänh: Liêu Tây		V§n chuy¬n	99	2
1138	229	53	219	Chu Du		Bång Kháng Y Sinh	5	4
1139	229	215	55	Bác LÕp			2	4
1140	229	59	80	Ð§u Ð§u			2	4
1141	229	172	25	Ninh Linh Ca			2	4
1142	229	58	80	Viên Bình			2	4
1143	229	83	37	Xí Nga Vß½ng			1	5
1144	229	38	222	Tuyªt Nguyên Lang			1	5
1145	229	50	148	Ngân Ngai Tuyªt Nhân			1	5
1146	229	168	210	Tuyªt Nguyên Mãng Cái			1	5
1147	229	142	110	Linh Xí Nga Trß·ng Thành			1	5
1148	229	180	163	Thánh Xí Nga Trß·ng Thành			1	5
1149	191	17	237	Trß¶ng cänh: Bäo Tàng Nh¸		V§n chuy¬n	99	2
1150	191	245	16	Trß¶ng cänh: Bäo Tàng TÑ		V§n chuy¬n	99	2
1151	191	205	48	Hµ Bäo Th¥n Thú			1	5
1152	191	97	150	Hµ Bäo Ð°ng Nhân			1	5
1153	191	25	240	Diêu Bác			2	5
1154	192	26	249	Trß¶ng cänh: Bäo Tàng Tam		V§n chuy¬n	99	2
1155	192	246	22	Trß¶ng cänh: Bäo Tàng Ngû		V§n chuy¬n	99	2
1156	192	234	165	Hµ Bäo Th¥n Thú			1	5
1157	192	74	206	T¥m Bäo Hào Ki®t			1	5
1158	192	21	235	Diêu Tr÷ng			2	5
1159	193	128	247	Trß¶ng cänh: Bäo Tàng TÑ		V§n chuy¬n	99	2
1160	193	123	213	Ðµng Huy®t ThÕch Nhân			1	5
1161	193	127	25	Mµc Dûng Bá			1	5
1162	193	135	238	Diêu Thúc			2	5
1163	194	43	31	Trß½ng Chính Quý		Giäi oan	2	2
1164	199	23	228	Trß¶ng cänh: NhÕn B¡c		V§n chuy¬n	99	2
1165	199	135	30	Ðä Thäo C¯c Liêu Binh			1	5
1166	199	207	215	H°ng Phong Hùng			1	5
1167	199	221	149	H°ng Phong Tri Thù			1	5
1168	199	48	25	Liêu Binh			1	5
1169	199	44	218	T¥n Gia TrÕi Hµ V®			1	5
1170	199	101	218	T¥n Gia TrÕi Giáo Ð¥u			1	5
1171	199	162	219	T¥n Gia TrÕi Th± Phï			1	5
1172	200	89	242	Trß¶ng cänh: Mai Lînh		V§n chuy¬n	99	2
1173	200	84	169	H°ng Bào Tri Thù			1	5
1174	200	185	43	Lßu Kh¤u			1	5
1175	200	85	122	B¢ng Dân			1	5
1176	200	121	15	S½n Vi®n Hµ Pháp			1	5
1177	200	29	100	S½n Vi®n Tß Tª			1	5
1178	201	235	230	Trß¶ng cänh: Huy«n Võ Ðäo		V§n chuy¬n	99	2
1179	201	221	150	Bác Mã			4	5
1180	201	30	48	ÐÕi ThØ			4	5
1181	201	187	98	Kiªm Long			4	5
1182	201	161	166	Tê Ngßu			4	5
1183	201	71	207	Ti¬u Tßþng			4	5
1184	201	190	230	Tuyªt Ðiêu			4	5
1185	202	69	104	Trß¶ng cänh: NhÕn B¡c		V§n chuy¬n	99	2
1186	202	29	68	Trß¶ng cänh: C± MÕc Nh¸		V§n chuy¬n	99	2
1187	202	62	88	Yªn Bi®t Thu	Yªn Vß½ng c± mµ tiªp dçn	Nhi®m vø	2	5
1188	202	107	94	QuÖ Kiªm			1	5
1189	202	65	34	M¸ Änh Y¬n Sß			1	5
1190	202	74	90	Thâu Li®p Giä			1	5
1191	203	106	18	Trß¶ng cänh: C± MÕc Tam		V§n chuy¬n	99	2
1192	203	87	93	Trß¶ng cänh: C± MÕc Nh¤t		V§n chuy¬n	99	2
1193	203	45	87	ThÕch Nhân			1	5
1194	203	45	87	Thø Nhân			1	5
1195	203	101	35	Nham Ma			1	5
1196	204	7	24	Trß¶ng cänh: C± MÕc Nh¸		V§n chuy¬n	99	2
1197	204	110	114	Trß¶ng cänh: C± MÕc TÑ		V§n chuy¬n	99	2
1198	204	105	104	Tri«n t½ tri chu vß½ng			1	5
1199	204	103	65	Ðµc Ty Tri Thù Vß½ng			1	5
1200	204	64	16	MÕc Huy®t Ðµc Phong			1	5
1201	204	24	12	MÕc Huy®t Ðµc Thù			1	5
1202	205	103	10	Trß¶ng cänh: C± MÕc Tam		V§n chuy¬n	99	2
1203	205	63	52	Trß¶ng cänh: C± MÕc Ngû		V§n chuy¬n	99	2
1204	205	57	35	Xuân Th§p Tam Nß½ng			1	5
1205	205	102	18	Khôi Ban Ðµc Thù			1	5
1206	205	66	112	H¤p Huyªt Biên BÑc			1	5
1207	206	104	11	Trß¶ng cänh: C± MÕc Løc		V§n chuy¬n	99	2
1208	206	20	19	Trß¶ng cänh: C± MÕc TÑ		V§n chuy¬n	99	2
1209	206	51	27	Tôi Ðµc Thù			1	5
1210	206	104	36	Phøc Ð¸a Ma			1	5
1211	206	92	25	Quách Ð¬ Huy	Ph¯i phß½ng thß½ng nhân	Ph¯i Phß½ng	2	3
1212	206	51	27	Cô Lâu Binh			1	5
1213	207	64	60	Trß¶ng cänh: C± MÕc Th¤t		V§n chuy¬n	99	2
1214	207	64	116	Trß¶ng cänh: C± MÕc Ngû		V§n chuy¬n	99	2
1215	207	65	44	BÕch Ðª			1	5
1216	207	64	64	BÕch Ðª Âm Änh			1	5
1217	207	44	99	QuÖ H°n			1	5
1218	207	76	99	U Linh			1	5
1219	208	79	20	Trß¶ng cänh: C± MÕc Bát		V§n chuy¬n	99	2
1220	208	28	115	Trß¶ng cänh: C± MÕc Løc		V§n chuy¬n	99	2
1221	208	102	84	Minh Tß¾ng			1	5
1222	208	72	29	TØ Vong T¥n Phi			1	5
1223	208	18	81	Vong Linh Khäi Giáp Võ Sî			1	5
1224	209	38	31	Trß¶ng cänh: C± MÕc CØu		V§n chuy¬n	99	2
1225	209	10	13	Trß¶ng cänh: C± MÕc Th¤t		V§n chuy¬n	99	2
1226	209	27	38	Hoä Toan Nghê			1	5
1227	209	25	37	Nê Tß½ng Võ Sî			1	5
1228	209	92	16	Huyªt †m Cu°ng Ðao			1	5
1229	210	14	15	Trß¶ng cänh: C± MÕc Bát		V§n chuy¬n	99	2
1230	210	94	116	Bác Mã			1	5
1231	210	64	77	Xích Tiêu			1	5
1232	210	58	78	Xích tiêu hoä h°n			1	5
1233	210	33	30	Dung Nham ThÕch Nhân			1	5
1234	211	24	224	Trß¶ng cänh: Tây H°		V§n chuy¬n	99	2
1235	211	140	213	ÐoÕn Ki«u Hoa Yêu			1	5
1236	211	22	206	Hoa Cäng Ðµc Phong			1	5
1237	211	208	94	Lßu Kh¤u			1	5
1238	211	49	98	Long Tïnh Thüy T£c			1	5
1239	211	206	223	M§t Thám			1	5
1240	211	142	235	Thüy QuÖ Thám TØ			1	5
1241	212	15	15	Trß¶ng cänh: Long Tuy«n		V§n chuy¬n	99	2
1242	212	130	238	Ám Sát Giä			1	5
1243	212	195	149	ÐÕi Kiªm Sß			1	5
1244	212	69	194	Hoang Dã Kiªm Khách			1	5
1245	212	19	39	Kiªm Xï Báo			1	5
1246	212	118	36	Kiªm Linh			1	5
1247	212	43	104	Kiªm Chüng Si Khách			1	5
1248	213	22	235	Trß¶ng cänh: NhÕn Nam		V§n chuy¬n	99	2
1249	213	17	229	Ma Vân Thiên	Ma Nhai Ðµng tiªp dçn	Nhi®m vø	2	5
1250	213	216	176	Công H°n Änh Tßþng			1	5
1251	213	17	216	T¥n Gia TrÕi ºa Bá			1	5
1252	213	114	140	T¥n Gia TrÕi Hµ V® SÑ			1	5
1253	213	114	88	T¥n Gia TrÕi Ð¥u Lãnh			1	5
1254	213	106	210	T¥n Gia TrÕi Th± Phï			1	5
1255	213	57	226	T¥n Gia TrÕi V® Binh			1	5
1256	214	21	36	Trß¶ng cänh: Thß½ng S½n		V§n chuy¬n	99	2
1257	214	202	77	Lang Tµc Th¥n Hán			1	5
1258	214	204	26	Lang Tµc Ð¥u Nhân			1	5
1259	214	182	50	Lang Tµc Th± Ty			1	5
1260	214	114	99	Lang Tµc Dûng Sî			1	5
1261	214	32	72	Soa Y Dã Nhân			1	5
1262	214	90	107	Tuyªt Lang			1	5
1263	215	25	235	Trß¶ng cänh: Nh¸ Häi		V§n chuy¬n	99	2
1264	215	84	161	Xích Cß¾c Dã Nhân			1	5
1265	215	47	87	Phong Lang			1	5
1266	215	42	216	Báo Ð¯m			1	5
1267	215	175	208	Lang Tµc Kinh SÑ			1	5
1268	215	35	27	Lang Tµc Thám TØ			1	5
1269	215	230	77	Lang Tµc Chiªn Sî			1	5
1270	216	108	229	Trß¶ng cänh: Vû Di		V§n chuy¬n	99	2
1271	216	196	207	BÕch Hoa Tri Thù			1	5
1272	216	122	124	S½n Vi®n Hµ Pháp			1	5
1273	216	119	98	S½n Vi®n Tß Tª			1	5
1274	216	199	163	S½n Vi®n Chiªn Sî			1	5
1275	216	107	216	Thâm C¯c BÕch Viên			1	5
1276	216	113	95	Thø Giáp Tiêu Binh			1	5
1277	217	230	236	Trß¶ng cänh: Thäo Nguyên		V§n chuy¬n	99	2
1278	217	203	229	Thäo Nguyên Lang			1	5
1279	217	25	218	Ðä Thäo C¯c T¯ng Binh			1	5
1280	217	175	207	Mông C± H¡c Phong			1	5
1281	217	138	178	Thi¬m Ði®n Mã Phï			1	5
1282	217	120	83	Loan Ðao Mã Phï			1	5
1283	217	170	36	Truy Phong Mã Phï			1	5
1284	218	127	19	Trß¶ng cänh: Liêu Tây		V§n chuy¬n	99	2
1285	218	207	128	ÐÕo MÕc Mã Phï			1	5
1286	218	62	32	QuÖ Lang			1	5
1287	218	33	27	H¡c Ðµc Phong			1	5
1288	218	105	74	Hµ MÕc Mãng Cái			1	5
1289	218	36	169	Cô Lâu			1	5
1290	218	125	238	Nh¤t Ph¦m Ðß¶ng Thích Khách			1	5
1291	219	237	18	Trß¶ng cänh: ThÕch Lâm		V§n chuy¬n	99	2
1292	219	50	37	Hoa Cß½ng ThÕch Nhân			1	5
1293	219	50	224	Hoa Cß½ng ThÕch Sß			1	5
1294	219	22	68	Lang Thù			1	5
1295	219	128	191	Hi®t Nham ThÕch Nhân			1	5
1296	219	107	28	Tông Hùng			1	5
1297	220	20	19	Trß¶ng cänh: Ng÷c Khê		V§n chuy¬n	99	2
1298	220	43	24	Báo Ð¯m			1	5
1299	220	24	61	Mê Nhân Phong			1	5
1300	220	229	175	Ðào Cån Tiên			1	5
1301	220	123	63	Ðào hoa tiên			1	5
1302	220	93	195	Ðào Thñc Tiên			1	5
1303	220	208	220	Ðào Chi Tiên			1	5
1304	221	42	228	Trß¶ng cänh: Nam Häi		V§n chuy¬n	99	2
1305	221	193	104	NgÕc Ngß Bang Ðä Thü			1	5
1306	221	48	72	NgÕc Ngß Bang T£c Ð°			1	5
1307	221	27	177	Nam Vñc NgÕc Ngß			1	5
1308	221	218	160	Nam Vñc Häi ÐÕo			1	5
1309	221	155	155	ThÕch Lão Nhân			1	5
1310	222	108	228	Trß¶ng cänh: Hoàng Long Phü		V§n chuy¬n	99	2
1311	222	143	53	Ba Luân Mãng Cái			1	5
1312	222	154	217	ÐÕi H¡c Hùng			1	5
1313	222	29	180	Tuyªt S½n Lang			1	5
1314	222	184	210	Tuyªt S½n Mãng Cái			1	5
1315	222	30	63	Tr÷ng Giáp Mãng Cái			1	5
1316	235	49	23	Trß¶ng cänh: ThÕch Lâm		V§n chuy¬n	99	2
1317	235	231	169	Trß¶ng cänh: Diêm Khanh		V§n chuy¬n	99	2
1318	235	32	38	Ðinh Ba Lãng			2	5
1319	235	31	42	Lý Nhßþc Thüy			2	5
1320	235	176	194	Vß½ng Tß Gia			2	5
1321	235	48	34	Dß½ng Nguyên			2	5
1322	235	51	42	Vû Vån Th¸			2	5
1323	235	172	204	Tr¸nh Dß½ng			2	5
1324	235	214	37	C± Lý Xích			1	5
1325	235	62	102	Diêm H° NgÕc Ngß			1	5
1326	235	97	35	Diêm H° Hùng			1	5
1327	235	56	156	Oa Diêm Kh± Công			1	5
1328	235	150	125	Oa Diêm Mµc Nhân			1	5
1329	235	66	199	Y¬n Sß Giám Công			1	5
1330	235	199	188	Y¬n Sß Thü V®			1	5
1331	237	100	98	Trß¶ng cänh: Diêm H°		V§n chuy¬n	99	2
1332	237	80	85	Diêm H° Hùng			1	5
1333	237	91	71	Diêm H° NgÕc Ngß			1	5
1334	237	29	79	Oa Diêm Kh± Công			1	5
1335	237	64	55	Oa Diêm Mµc Nhân			1	5
1336	237	89	36	Y¬n Sß Giám Công			1	5
1337	237	39	40	Y¬n Sß Thü V®			1	5
1338	242	33	130	Trß¶ng cänh: Ðµi Hoàng		V§n chuy¬n	99	2
1339	242	159	287	Trß¶ng cänh: Tung S½n		V§n chuy¬n	99	2
1340	242	286	129	Trß¶ng cänh: NhÕn Nam		V§n chuy¬n	99	2
1341	242	59	83	A TØ	Nhi®m vø c¯t truy®n		7	5
1342	242	160	134	Châu Thiên Sß	Ðào lý thiên hÕ	Nhi®m vø	7	5
1343	242	234	140	Ngô ThØ Nhân	Bát phß½ng lai khách	Nhi®m vø	7	5
1344	242	118	184	L§p Ph°n	HÕo Ng÷c næ hi®p	Nhi®m vø	7	5
1345	242	252	62	B¯c H¯i KÏ		Nhi®m vø	7	5
1346	242	113	75	Ba Thiên ThÕch			7	5
1347	242	175	104	Th¥n Tình Yêu	Ái th¥n	Ái th¥n	7	5
1348	242	136	164	BÕch Manh Sinh	Dßþc ðiªm lão bän	MÕi Dßþc	6	3
1349	242	136	169	BÕch Dînh Minh	ÐÕi sß dßþc lý h÷c	Dßþc lý	5	4
1350	242	133	164	BÕch Dînh Trung	Dßþc ðiªm lão bän	MÕi Dßþc	6	3
1351	242	253	111	Bäo Châu			7	5
1352	242	122	74	B¡c Ði«u Trung Th¡ng			7	5
1353	242	90	208	T¤t Thång			7	5
1354	242	158	32	Thái Bi®n	Bang hµi ð°ng minh	Ð°ng minh	5	4
1355	242	125	97	Thái Bính Th¥n			7	5
1356	242	126	96	Thái Kinh			7	5
1357	242	144	68	Tr¥n Phu Chi	Kªt bái danh hi®u	Kªt bái	5	4
1358	242	238	152	Tr¥n Th÷ Ðình			7	5
1359	242	83	149	Tr¥n Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
1360	242	172	90	Tr¥n Vînh Nhân	Lînh 2 l¥n kinh nghi®m	Lãnh Song	5	4
1361	242	98	205	Trình An			7	5
1362	242	88	205	Trình HÕo			7	5
1363	242	85	208	Trình Di			7	5
1364	242	83	155	ChØ Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
1365	242	220	200	Xuân Nhi			7	5
1366	242	230	176	Ð½n Chính			7	5
1367	242	177	176	Ð±ng Xß½ng	Trang sÑc ðiªm ti¬u nh¸	Trang sÑc	6	3
1368	242	158	181	Ðông Ðông	Kim T® nguyên bäo ký gØi	Ký gØi	5	4
1369	242	255	134	Ð§u Ngô Ð°ng	Giang H° Du Y	Tr¸ li®u	5	4
1370	242	140	95	PhÕm Thu¥n Nhân	Bang hµi quän lý	Bang hµi	5	2
1371	242	138	140	PhÕm Th¯ng	Khách sÕn lão bän	Thñc ph¦m	6	3
1372	242	142	113	PhÕm Di Thành	Cäi danh phøc vø SÑ	Cäi danh	5	4
1373	242	209	152	Phong H° TØ	Vû khí trang b¸ tông sß	Cß¶ng hóa	5	4
1374	242	87	155	Phùng Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
1375	242	155	174	Phùng Chú Thiªt	Tài li®u gia công ðÕi sß	Gia công	5	4
1376	242	193	172	Phù Mçn Chi	May ðÕi sß	May	5	4
1377	242	84	116	Cái Thiên Minh			7	5
1378	242	198	58	Cao C¥u			7	5
1379	242	110	162	Cung Thái Li	Ám Kim Bäo Tß½ng ð±i sÑ giä	Ð±i	5	4
1380	242	268	46	Quan Hán Th÷	Xóa bö vai di­n	San Hào	5	4
1381	242	162	237	Quan Th¡ng			7	5
1382	242	175	64	Quách Thiên Tín			7	5
1383	242	161	244	Hàn Ngân Di®p	Giang H° Du Y	Tr¸ li®u	5	4
1384	242	248	129	Hà Linh Chi	Nhuµm tóc sß phó	Nhuµm tóc	5	4
1385	242	95	152	Hà Sinh Tài	Tài li®u thß½ng nhân	Tài li®u	6	3
1386	242	255	106	Hà Sinh Phú	Tài li®u thß½ng nhân	Tài li®u	6	3
1387	242	113	63	Hách Liên Thiªt Thø			7	5
1388	242	46	61	Hoa Tiên			7	5
1389	242	232	181	Hoài Bính			7	5
1390	242	81	117	C± Uy Tín			7	5
1391	242	179	177	Giä Tác Trân	Trang sÑc Ðiªm chß·ng qu¥y	Trang sÑc	6	3
1392	242	127	154	Khß½ng Lý	Khách sÕn lão bän	Thñc ph¦m	6	3
1393	242	207	184	Khß½ng Ngß	Câu cá kÛ nång hu¤n luy®n	Câu cá	5	4
1394	242	205	172	Kim Løc Gia	Ti«n Trang tiªp Ñng SÑ	Ti«n trang	5	2
1395	242	109	73	Kim Tä Hoán			7	5
1396	242	220	206	Khang Mçn			7	5
1397	242	65	134	Kha Bách Nhân	Giang H° Du Y	Tr¸ li®u	5	4
1398	242	265	44	Kh±ng Tông Uyên	Xóa bö nhi®m vø ðÕo cø	Xóa v§t	5	4
1399	242	63	147	Lang phu nhân	Chu bäo thß½ng nhân	Bäo thÕch	6	3
1400	242	256	139	Lôi Hoành			7	5
1401	242	134	152	Lý ÐÕi ChuÖ	ÐÕi sß n¤u ån	N¤u nß¾ng	5	4
1402	242	249	111	Lý Ma Ma			7	5
1403	242	253	112	Lý Sß Sß			7	5
1404	242	212	156	Lâm Kim Long	Vû khí ðiªm ti¬u nh¸	Vû khí	6	3
1405	242	157	35	Lßu Quang Thª			7	5
1406	242	150	90	Lßu Ki®n Minh	Lînh 2 l¥n kinh nghi®m	Lãnh Song	5	4
1407	242	219	262	Lßu Di®c Nông	Gieo tr°ng H÷c ðÕi sß	Tr°ng tr÷t	5	4
1408	242	199	57	Li­u Phúc Sinh			7	5
1409	242	100	170	Long Bá Thiên	Tr¸ li®u khí huyªt	Tr¸ li®u	5	4
1410	242	60	146	Long Tam Thiªu	Công ngh® kÛ nång ðÕi sß	Công ngh®	5	4
1411	242	109	210	Lã Hu® Khanh			7	5
1412	242	112	64	N² Nhi Häi			7	5
1413	242	174	33	Bùi Tuyên			7	5
1414	242	177	184	Bành Hoài Ng÷c	Bäo thÕch công tßþng	Bäo thÕch	5	4
1415	242	112	72	Phác Minh Thi®n			7	5
1416	242	132	154	Tß¶ng Vy	DßÞng sinh H÷c ðÕi sß	DßÞng sinh	5	4
1417	242	230	156	Ki«u Phúc Th¸nh	CØu Châu thß½ng hµi lão bän	CØa hàng	6	3
1418	242	225	152	Ki«u Thanh Th¸nh			7	5
1419	242	175	115	Ki«u Trí Quäng	LÕc Dß½ng thß½ng nhân	Bào Thß½ng	6	3
1420	242	136	185	Khâu Hành LÕc	Säo l¶i nh¡n nhi®m vø	Ðßa thß	7	5
1421	242	128	98	C¥u Hßng			7	5
1422	242	254	146	Nhuª Phúc Tß¶ng	TÕp hoá Ðiªm chß·ng qu¥y	TÕp hoá	6	3
1423	242	208	213	Thß Chàng			7	5
1424	242	207	212	Tß Mã Quang	Nhi®m vø anh hùng		7	5
1425	242	162	34	Tô Triªt			7	5
1426	242	180	213	Ðàm Công			7	5
1427	242	179	212	Ðàm Bà			7	5
1428	242	180	185	Ðào Ð¡c Bäo	Phøc sÑc ðiªm ti¬u nh¸	Phøc sÑc	6	3
1429	242	121	73	Ð¢ng Nguyên Tá Vi			7	5
1430	242	136	180	Ði«n Kiêu Minh	Mua tân thü KÜ Th×a	KÜ Th×a	6	3
1431	242	159	181	Thinh Thinh	Kim T® nguyên bäo ký gØi	Ký gØi	5	4
1432	242	204	57	Ð°ng Quán	Xúc Cúc ðÕi tái Liêm Phöng SÑ	Xúc Cúc	5	2
1433	242	230	129	Uông HÕn	CØu Châu thß½ng hµi Truy«n T¯ng Nhân	V§n chuy¬n	5	1
1434	242	120	196	Xa Truy«n Nghîa	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
1435	242	213	160	Vß½ng ÐÑc Phúc	Chú Kiªm Sß Phó	Ðúc khuôn	5	4
1436	242	210	154	Vß½ng ÐÑc Quý	Binh khí Ðiªm ÐÕi ðß½ng gia	Vû khí	6	3
1437	242	271	88	Vß½ng Tích Tân	Ván c¶ Tiªp Dçn Nhân	Ván c¶	5	4
1438	242	212	151	Vi Ð°ng ChuÏ	Thái Khoáng kÛ nång ðÕi sß	Khai Khoáng	5	4
1439	242	250	106	V® Tiên Sinh	Ti«n Trang phòng thu chi	Ti«n trang	5	4
1440	242	139	182	Ngô ÐÑc Xß½ng	D¸ch TrÕm Lão Bän	V§n chuy¬n	5	1
1441	242	89	111	Ngû Ðinh	D¸ch dung C½ Hoá thß½ng nhân	D¸ch dung	6	3
1442	242	120	63	Võ Ði«n Tín Xß½ng			7	5
1443	242	177	94	HÖ Lai LÕc	Kªt hôn ði dÕo quän lý Nhân	Hôn Khánh	5	4
1444	242	155	107	HÕ H¥u Nhân	Tung S½n Phong Thi«n Ðài	Thi ð¤u th¬ thao	5	2
1445	242	262	53	Châu Nhiên	Chiªn trß¶ng Truy«n T¯ng Nhân	Chinh phÕt	5	2
1446	242	280	141	Thôi Vî	Chiªn trß¶ng biªn thân tr¸ li®u Nhân	Biªn Thân	5	2
1447	242	110	52	Tiêu Phøng Tiên			7	5
1448	242	210	201	T× Kinh Lôi			7	5
1449	242	120	169	Nghiêm Bách Thäo	Hái thu¯c kÛ nång ðÕi sß	Hái dßþc	5	4
1450	242	252	130	Nhan Nhß Ng÷c	Trang ði¬m dung nhan sß phó	Trang ði¬m dung nhan	5	4
1451	242	112	202	Yªn Thanh	Ám khí ðÕi sß	Ám Khí	5	4
1452	242	250	129	Yªn Nhß Tuyªt	Quán Phát sß phó	Quán Phát	5	4
1453	242	107	203	Dß½ng Th¶i			7	5
1454	242	79	152	Dß½ng Hy Bình			7	5
1455	242	234	69	Dß½ng Tranh			7	5
1456	242	118	62	Gia Lu§t ÐÕi ThÕch			7	5
1457	242	77	54	Nghi®p Phàn			7	5
1458	242	75	70	Nghi®p Không			7	5
1459	242	106	200	Du Tác			7	5
1460	242	57	82	Du Thän Chi			7	5
1461	242	160	101	Vu CØu Liên	Tung S½n Phong Thi«n Ðài	Thi ð¤u th¬ thao	5	4
1462	242	40	56	Nguy®t Lão	Kªt hôn xin	Kªt hôn	5	4
1463	242	182	155	Vân Hàm Nhi	Huy«n Võ Ðäo Truy«n T¯ng Nhân	Huy«n Võ	5	2
1464	242	182	157	Vân Diêu Diêu	Phß¶ng chü Trùng ði¬u phß¶ng	Trân Thú	6	3
1465	242	172	141	Vân Thanh Thanh	Trân Thú ð° dùng thß½ng nhân	Trân Thú	6	3
1466	242	67	126	Trß½ng Bá Trí			7	5
1467	242	200	61	Trß½ng Tu¤n			7	5
1468	242	137	164	Trß½ng Minh Cänh	ÐÕi sß chª duþc	Chª dßþc	5	4
1469	242	200	103	Chß½ng Ðôn	Ð±i Bình T£c danh hi®u	Bình T£c	5	4
1470	242	150	114	Tri®u Bán ThuÖ	Tªt âm l¸ch ti®c t¯i trïa hÕt	Tiê´t Mu?c Cuô´i Nåm	5	4
1471	242	228	175	?ÔÃ÷³Ï	LÕc Dß½ng Tào v§n sÑ	Tào V§n	5	4
1472	242	86	89	Tri®u Ti«n Tôn			7	5
1473	242	182	183	Chân Duy Tß	Phøc sÑc Ðiªm chß·ng qu¥y	Phøc sÑc	6	3
1474	242	77	72	Trí Quang ÐÕi Sß			7	5
1475	242	79	52	Trí Thanh ÐÕi Sß			7	5
1476	242	245	96	Châu Bang NgÕn			7	5
1477	242	63	131	Chu Ð°ng			7	5
1478	242	194	180	Gia Cát Kh±ng Minh			7	5
1479	242	112	51	Tông Ca Ban			7	5
1480	242	120	54	Tông Ca ÐÕt			7	5
1481	242	121	55	Tông Tán			7	5
1482	242	144	116	Quách Bäo Toàn	An toàn tuyên truy«n	An toàn	5	3
1483	242	246	129	Y Thiên Thái	M¾i ðÕi sß	Th¶i Trang	5	3
1484	242	220	170	Trß½ng Hàng Long	Ðiêu Vån ðÕi sß	Ðiêu Vån	5	3
1485	242	245	130	Y Quª	M¾i nhà	Tü qu¥n áo	5	3
1486	242	149	145	Trình Thß½ng Bách	Phú Giáp thiên hÕ	Bào Thß½ng	7	3
1487	242	166	108	Chu Thßþng	Kiªm Hµi qu¥n hùng	Kiªm Hµi	5	3
1488	242	59	95	MÕnh S¤m	NhÕn Môn lu§n võ	NhÕn Môn	5	3
1489	242	256	80	Ðö và ðen Vån	Trân bäo Cß chß·ng qu¥y	Thß½ng Nhân	6	3
1490	242	184	214	Ngäi Phß½ng	Lâm Tiên Lâu Chß·ng Sñ	Lâm Tiên	5	3
1491	242	187	214	Ngäi Lß½ng Thanh	Lâm Tiên Lâu cØa hàng	Sách dÕy n¤u ån	6	3
1492	242	201	214	Mµc lan	Hành y Trai Chß·ng Sñ	Hành y	5	3
1493	242	196	214	Thß½ng Nhî	Hành y Trai cØa hàng	Phß½ng thu¯c	6	3
1494	242	237	214	Th×a Änh	Chú Quy«n Tôn Chß·ng Sñ	Chú Quy«n	5	3
1495	242	240	214	Tiêu Luy®n	Chú Quy«n Tôn cØa hàng	Bän v¨	6	3
1496	242	230	208	Công Thâu Trác	Chuyªt Xäo Ðß¶ng Chß·ng Sñ	Chuyªt Xäo	5	3
1497	242	227	208	Công Thâu Linh	Chuyªt Xäo Ðß¶ng cØa hàng	Bän v¨	6	3
1498	244	20	237	Truy«n T¯ng: Cao Xß½ng		V§n chuy¬n	99	2
1499	244	26	103	Truy«n T¯ng: Hoä Di®m C¯c		V§n chuy¬n	99	2
1500	244	223	24	Cáp Ð° Ti	Ðôn Hoàng	V§n chuy¬n	2	2
1501	244	100	86	BÕch Ánh Trung	Dßþc ðiªm lão bän	Ti®m thu¯c	2	5
1502	244	228	39	NgÕn Thª Quân	Hoä Kháng Y Sinh	Hoä Kháng	2	5
1503	244	107	102	A Kh¡c			2	5
1504	244	106	101	Ðan Ni			2	5
1505	244	38	129	Hoà Trác			2	5
1506	244	144	140	LÕc Ti			2	5
1507	244	166	110	MÕch Nha			2	5
1508	244	63	117	Khâu ThuÖ			2	5
1509	244	163	102	Ngßu Ngäi Nhî			2	5
1510	244	228	41	T¯ng Chi V¤n			2	5
1511	244	212	108	B¡c Phß½ng ÐÕo T£c			1	5
